Node Number,X Location (mm),Y Location (mm),Z Location (mm),Total Deformation (mm)
1278,487.39,1064.6,-1385.3,0.030411
1279,487.39,1048.6,-1397.4,0.030592
1280,487.39,1032.6,-1409.3,0.03075
1281,487.39,1016.4,-1421,0.030889
1282,487.39,1000,-1432.6,0.031015
1283,487.39,983.59,-1443.9,0.031129
1284,487.39,967,-1455.1,0.031226
1285,487.39,950.28,-1466.1,0.031304
1286,487.39,933.44,-1476.8,0.031365
1287,487.39,916.48,-1487.4,0.031408
1288,487.39,899.4,-1497.8,0.031433
1289,487.39,882.2,-1508,0.031445
1290,487.39,864.88,-1518,0.031445
1291,487.39,847.45,-1527.8,0.031435
1292,487.39,829.91,-1537.4,0.031409
1293,487.39,812.26,-1546.8,0.031366
1294,487.39,794.5,-1556,0.031305
1295,487.39,776.64,-1565,0.031227
1296,487.39,758.68,-1573.8,0.03113
1297,487.39,740.62,-1582.4,0.031018
1298,487.39,722.46,-1590.7,0.030894
1299,487.39,704.21,-1598.9,0.030756
1300,487.39,685.87,-1606.8,0.030599
1301,487.39,667.43,-1614.6,0.030418
1302,487.39,648.91,-1622.1,0.030214
1303,487.39,630.3,-1629.4,0.029987
1304,487.39,611.61,-1636.6,0.029734
1305,487.39,592.85,-1643.4,0.029457
1306,487.39,574,-1650.1,0.029161
1307,487.39,555.08,-1656.6,0.02884
1308,487.39,536.08,-1662.8,0.028486
1309,487.39,517.01,-1668.9,0.028096
1310,487.39,497.88,-1674.7,0.027671
1311,487.39,478.68,-1680.2,0.027213
1312,487.39,459.42,-1685.6,0.026727
1313,487.39,440.1,-1690.8,0.02622
1314,487.39,420.72,-1695.7,0.02569
1315,487.39,401.29,-1700.4,0.025124
1316,487.39,381.8,-1704.9,0.024515
1317,487.39,362.27,-1709.1,0.02386
1318,487.39,342.68,-1713.2,0.023158
1319,487.39,323.05,-1717,0.022411
1320,487.39,303.38,-1720.6,0.02163
1321,487.39,283.67,-1723.9,0.020816
1322,487.39,263.92,-1727.1,0.019967
1323,487.39,244.14,-1730,0.019086
1324,487.39,224.33,-1732.6,0.018175
1325,487.39,204.48,-1735.1,0.017234
1326,487.39,184.61,-1737.3,0.016267
1327,487.39,164.72,-1739.3,0.01528
1328,487.39,144.8,-1741.1,0.014285
1329,487.39,124.86,-1742.6,0.013279
1330,487.39,104.91,-1744,0.012265
1331,487.39,84.946,-1745,0.011248
1332,487.39,64.97,-1745.9,0.010236
1333,487.39,44.984,-1746.5,0.0092322
1334,487.39,24.993,-1746.9,0.0082487
1335,487.39,4.9988,-1747.1,0.007302
1336,487.39,-14.996,-1747,0.0064149
1337,487.39,-34.989,-1746.8,0.0056112
1338,487.39,-54.978,-1746.2,0.0049335
1339,487.39,-74.959,-1745.5,0.0044403
1340,487.39,-94.931,-1744.5,0.0041935
1341,487.39,-114.89,-1743.3,0.0042295
1342,487.39,-134.83,-1741.9,0.0045337
1343,487.39,-154.76,-1740.2,0.0050472
1344,487.39,-174.67,-1738.4,0.0057017
1345,487.39,-194.55,-1736.2,0.0064483
1346,487.39,-214.41,-1733.9,0.0072485
1347,487.39,-234.24,-1731.3,0.008076
1348,487.39,-254.04,-1728.5,0.0089131
1349,487.39,-273.8,-1725.5,0.0097494
1350,487.39,-293.53,-1722.3,0.010577
1351,487.39,-313.22,-1718.8,0.011386
1352,487.39,-332.87,-1715.1,0.012177
1353,487.39,-352.48,-1711.2,0.012949
1354,487.39,-372.04,-1707,0.013698
